Code,FormalEducatedPopulation
ALB,98
ALB,99
DZA,84
DZA,87
ARG,98
ARG,98
ARM,99
ARM,100
ABW,94
ABW,95
AUS,99
AUS,100
AUT,100
AUT,100
AZE,99
AZE,99
BHS,99
BHS,99
BHR,94
BHR,95
BGD,72
BGD,75
BLR,100
BLR,100
BEL,97
BEL,98
BLZ,94
BLZ,95
BEN,55
BEN,59
BTN,56
BTN,61
BOL,94
BOL,95
BIH,94
BIH,96
BRA,92
BRA,94
BGR,99
BGR,99
BFA,31
BFA,36
BDI,63
BDI,66
KHM,80
KHM,83
CMR,84
CMR,88
CAN,99
CAN,99
CPV,89
CPV,91
CAF,75
CAF,79
TCD,
TCD,44
CHL,98
CHL,98
CHN,93
CHN,95
COL,94
COL,95
COM,76
COM,81
COG,93
COG,96
CRI,97
CRI,98
CIV,60
CIV,65
HRV,99
HRV,99
CUB,99
CUB,99
CYP,99
CYP,100
CZE,100
CZE,100
COD,88
COD,90
DNK,100
DNK,100
DOM,99
DOM,99
,24.3
,25.6
,27.6
,30.2
,32.8
,35.9
,37.9
,42.1
,45.8
,56.2
,71.8
,72.4
,80
,89.8
,87.1
TLS,73
TLS,79
,25.1
,27.4
,30.8
,33.9
,36.1
,49.1
,64.4
,92.8
,97.1
,98.5
,98.5
,98.5
,99.7
ECU,94
ECU,95
EGY,73
EGY,77
SLV,86
SLV,88
GNQ,93
GNQ,94
EST,100
EST,100
SWZ,92
SWZ,94
ETH,57
ETH,62
FIN,100
FIN,100
FRA,98
FRA,99
PYF,97
PYF,98
GAB,93
GAB,95
GMB,65
GMB,69
GEO,100
GEO,100
DEU,99
DEU,99
GHA,67
GHA,71
GRC,98
GRC,99
GTM,79
GTM,81
GIN,37
GIN,42
GNB,54
GNB,59
GUY,98
GUY,98
HTI,80
HTI,84
HND,87
HND,89
HKG,96
HKG,97
HUN,100
HUN,100
ISL,100
ISL,100
IND,70
IND,73
IDN,93
IDN,95
IRN,85
IRN,88
IRQ,87
IRQ,90
IRL,100
IRL,100
ISR,98
ISR,99
ITA,99
ITA,99
JAM,99
JAM,99
JPN,100
JPN,100
JOR,91
JOR,94
KAZ,100
KAZ,100
KEN,91
KEN,94
KWT,90
KWT,92
KGZ,100
KGZ,100
LAO,80
LAO,83
,13.5
,16.2
,19.5
,23
,26.7
,32
,35.7
,42.7
,54
,55.5
,65.4
,71.5
,83.3
,93.5
,90
LVA,100
LVA,100
LBN,93
LBN,95
LSO,92
LSO,94
LBR,31
LBR,35
LTU,100
LTU,100
LUX,95
LUX,96
MAC,98
MAC,98
MDG,79
MDG,81
MWI,79
MWI,82
MYS,94
MYS,95
MDV,88
MDV,90
MLI,27
MLI,30
MLT,99
MLT,100
MUS,95
MUS,96
MEX,94
MEX,95
,4.2
,4.7
,5.3
,5.8
,7.1
,7.5
,8.7
,10.5
,14
,21.1
,28.8
,39.4
,55.2
,73.8
,66.3
MDA,100
MDA,100
MNG,99
MNG,99
MNE,98
MNE,99
MAR,61
MAR,66
MOZ,42
MOZ,
MMR,93
MMR,94
NAM,92
NAM,93
NPL,62
NPL,67
NLD,97
NLD,97
NCL,96
NCL,97
NZL,100
NZL,100
NIC,83
NIC,85
NER,28
NER,33
NGA,72
NGA,77
MKD,97
MKD,98
NOR,100
NOR,100
PAK,53
PAK,57
PSE,93
PSE,95
PAN,95
PAN,96
PRY,96
PRY,97
PER,95
PER,96
PHL,98
PHL,99
POL,99
POL,100
PRT,96
PRT,97
PRI,98
PRI,98
QAT,96
QAT,97
ROU,98
ROU,99
RUS,100
RUS,100
RWA,76
RWA,80
LCA,98
LCA,99
VCT,99
VCT,99
WSM,100
WSM,100
STP,91
STP,93
SAU,90
SAU,92
SEN,48
SEN,53
SRB,99
SRB,99
SLE,48
SLE,51
SGP,96
SGP,97
SVK,100
SVK,100
SVN,100
SVN,100
SOM,52
SOM,57
ZAF,95
ZAF,96
KOR,97
KOR,98
,1.8
,2.2
,2.5
,5
,6.3
,8.6
,11.5
,15.2
,19.7
,25.6
,34.4
,40.5
,53.7
,70.3
,65.9
ESP,99
ESP,99
,1.8
,2
,2.4
,2.9
,3.6
,4.4
,6.3
,9.5
,13.4
,20.4
,25.1
,32.1
,45.2
,65.4
,58.4
SDN,44
SDN,50
SUR,100
SUR,100
SWE,100
SWE,100
CHE,100
CHE,100
SYR,85
SYR,88
TJK,98
TJK,98
TZA,85
TZA,88
THA,96
THA,97
TON,99
TON,99
TTO,99
TTO,99
TUN,81
TUN,84
TUR,93
TUR,95
TKM,100
TKM,100
UGA,83
UGA,85
UKR,100
UKR,100
ARE,93
ARE,94
GBR,99
GBR,99
USA,99
USA,100
URY,99
URY,99
VUT,86
VUT,89
VEN,96
VEN,97
VNM,95
VNM,95
