ISO3,Human Development Groups,HDI Rank (2021)
AFG,Low,180
AGO,Medium,148
ALB,High,67
AND,Very High,40
ARE,Very High,26
ARG,Very High,47
ARM,High,85
ATG,High,71
AUS,Very High,5
AUT,Very High,25
AZE,High,91
BDI,Low,187
BEL,Very High,13
BEN,Low,166
BFA,Low,184
BGD,Medium,129
BGR,High,68
BHR,Very High,35
BHS,Very High,55
BIH,High,74
BLR,Very High,60
BLZ,Medium,123
BOL,Medium,118
BRA,High,87
BRB,High,70
BRN,Very High,51
BTN,Medium,127
BWA,Medium,117
CAF,Low,188
CAN,Very High,15
CHE,Very High,1
CHL,Very High,42
CHN,High,79
CIV,Medium,159
CMR,Medium,151
COD,Low,179
COG,Medium,153
COL,High,88
COM,Medium,156
CPV,Medium,128
CRI,Very High,58
CUB,High,83
CYP,Very High,29
CZE,Very High,32
DEU,Very High,9
DJI,Low,171
DMA,High,102
DNK,Very High,6
DOM,High,80
DZA,High,91
ECU,High,95
EGY,High,97
ERI,Low,176
ESP,Very High,27
EST,Very High,31
ETH,Low,175
FIN,Very High,11
FJI,High,99
FRA,Very High,28
FSM,Medium,134
GAB,High,112
GBR,Very High,18
GEO,Very High,63
GHA,Medium,133
GIN,Low,182
GMB,Low,174
GNB,Low,177
GNQ,Medium,145
GRC,Very High,33
GRD,High,68
GTM,Medium,135
GUY,High,108
HKG,Very High,4
HND,Medium,137
HRV,Very High,40
HTI,Low,163
HUN,Very High,46
IDN,High,114
IND,Medium,132
IRL,Very High,8
IRN,High,76
IRQ,Medium,121
ISL,Very High,3
ISR,Very High,22
ITA,Very High,30
JAM,High,110
JOR,High,102
JPN,Very High,19
KAZ,Very High,56
KEN,Medium,152
KGZ,Medium,118
KHM,Medium,146
KIR,Medium,136
KNA,High,75
KOR,Very High,19
KWT,Very High,50
LAO,Medium,140
LBN,High,112
LBR,Low,178
LBY,High,104
LCA,High,106
LIE,Very High,16
LKA,High,73
LSO,Low,168
LTU,Very High,35
LUX,Very High,17
LVA,Very High,39
MAR,Medium,123
MCO,,
MDA,High,80
MDG,Low,173
MDV,High,90
MEX,High,86
MHL,Medium,131
MKD,High,78
MLI,Low,186
MLT,Very High,23
MMR,Medium,149
MNE,Very High,49
MNG,High,96
MOZ,Low,185
MRT,Medium,158
MUS,Very High,63
MWI,Low,169
MYS,Very High,62
NAM,Medium,139
NER,Low,189
NGA,Low,163
NIC,Medium,126
NLD,Very High,10
NOR,Very High,2
NPL,Medium,143
NRU,,
NZL,Very High,13
OMN,Very High,54
PAK,Low,161
PAN,Very High,61
PER,High,84
PHL,Medium,116
PLW,High,80
PNG,Medium,156
POL,Very High,34
PRK,,
PRT,Very High,38
PRY,High,105
PSE,High,106
QAT,Very High,42
ROU,Very High,53
RUS,Very High,52
RWA,Low,165
SAU,Very High,35
SDN,Low,172
SEN,Low,170
SGP,Very High,12
SLB,Medium,155
SLE,Low,181
SLV,Medium,125
SMR,Very High,44
SOM,,
SRB,Very High,63
SSD,Low,191
STP,Medium,138
SUR,High,99
SVK,Very High,45
SVN,Very High,23
SWE,Very High,7
SWZ,Medium,144
SYC,High,72
SYR,Medium,150
TCD,Low,190
TGO,Low,162
THA,Very High,66
TJK,Medium,122
TKM,High,91
TLS,Medium,140
TON,High,91
TTO,Very High,57
TUN,High,97
TUR,Very High,48
TUV,Medium,130
TZA,Low,160
UGA,Low,166
UKR,High,77
URY,Very High,58
USA,Very High,21
UZB,High,101
VCT,High,89
VEN,Medium,120
VNM,High,115
VUT,Medium,140
WSM,High,111
YEM,Low,183
ZAF,High,109
ZMB,Medium,154
ZWE,Medium,146
